n,density,representation,trial,time_s
20,0.01,list,1,0.000034400
20,0.01,matrix,1,0.000046800
20,0.01,list,2,0.000031000
20,0.01,matrix,2,0.000041600
20,0.01,list,3,0.000030300
20,0.01,matrix,3,0.000044600
20,0.01,list,4,0.000027600
20,0.01,matrix,4,0.000038100
20,0.01,list,5,0.000024500
20,0.01,matrix,5,0.000048500
20,0.01,list,6,0.000023700
20,0.01,matrix,6,0.000080700
20,0.01,list,7,0.000050900
20,0.01,matrix,7,0.000046600
20,0.01,list,8,0.000031700
20,0.01,matrix,8,0.000044900
20,0.01,list,9,0.000126700
20,0.01,matrix,9,0.000086800
20,0.01,list,10,0.000049100
20,0.01,matrix,10,0.000057400
20,0.01,list,11,0.000032700
20,0.01,matrix,11,0.000056100
20,0.01,list,12,0.000035100
20,0.01,matrix,12,0.000049200
20,0.01,list,13,0.000029500
20,0.01,matrix,13,0.000042800
20,0.01,list,14,0.000033900
20,0.01,matrix,14,0.000043500
20,0.01,list,15,0.000025700
20,0.01,matrix,15,0.000043000
20,0.01,list,16,0.000033900
20,0.01,matrix,16,0.000043700
20,0.01,list,17,0.000030300
20,0.01,matrix,17,0.000042700
20,0.01,list,18,0.000025200
20,0.01,matrix,18,0.000045900
20,0.01,list,19,0.000024600
20,0.01,matrix,19,0.000051500
20,0.01,list,20,0.000026600
20,0.01,matrix,20,0.000045600
20,0.05,list,1,0.000030900
20,0.05,matrix,1,0.000056400
20,0.05,list,2,0.000026400
20,0.05,matrix,2,0.000037600
20,0.05,list,3,0.000026200
20,0.05,matrix,3,0.000050000
20,0.05,list,4,0.000024900
20,0.05,matrix,4,0.000046400
20,0.05,list,5,0.000027900
20,0.05,matrix,5,0.000039500
20,0.05,list,6,0.000026800
20,0.05,matrix,6,0.000044400
20,0.05,list,7,0.000024600
20,0.05,matrix,7,0.000033400
20,0.05,list,8,0.000027200
20,0.05,matrix,8,0.000038700
20,0.05,list,9,0.000033100
20,0.05,matrix,9,0.000042000
20,0.05,list,10,0.000030200
20,0.05,matrix,10,0.000045700
20,0.05,list,11,0.000027500
20,0.05,matrix,11,0.000039500
20,0.05,list,12,0.000024900
20,0.05,matrix,12,0.000036300
20,0.05,list,13,0.000024200
20,0.05,matrix,13,0.000034400
20,0.05,list,14,0.000025500
20,0.05,matrix,14,0.000039600
20,0.05,list,15,0.000021900
20,0.05,matrix,15,0.000036200
20,0.05,list,16,0.000031400
20,0.05,matrix,16,0.000036400
20,0.05,list,17,0.000028000
20,0.05,matrix,17,0.000107100
20,0.05,list,18,0.000036600
20,0.05,matrix,18,0.000055200
20,0.05,list,19,0.000028600
20,0.05,matrix,19,0.000053700
20,0.05,list,20,0.000037200
20,0.05,matrix,20,0.000045000
20,0.1,list,1,0.000028600
20,0.1,matrix,1,0.000035700
20,0.1,list,2,0.000028900
20,0.1,matrix,2,0.000038400
20,0.1,list,3,0.000031100
20,0.1,matrix,3,0.000038900
20,0.1,list,4,0.000028200
20,0.1,matrix,4,0.000042400
20,0.1,list,5,0.000026700
20,0.1,matrix,5,0.000046700
20,0.1,list,6,0.000033000
20,0.1,matrix,6,0.000034600
20,0.1,list,7,0.000026700
